,ORDER_ID,DT,RESTAURANT_RATING,GMV_TOTAL
136,153420000000,06-12-2022,5,456.75
137,153423000000,06-12-2022,5,735.75
138,153429000000,07-12-2022,5,262.5
139,153589000000,08-12-2022,5,540.75
140,153687000000,10-12-2022,5,278.25
141,153764000000,10-12-2022,4,672.75
142,153768000000,10-12-2022,4,367.5
143,153837000000,11-12-2022,5,1039.5
144,153849000000,11-12-2022,5,509.25
145,153941000000,12-12-2022,2,435.75
146,154111000000,14-12-2022,5,467.25
147,154113000000,14-12-2022,4,178.5
148,154119000000,15-12-2022,5,903.75
149,154191000000,15-12-2022,5,267.75
150,154214000000,16-12-2022,5,168.0
151,154272000000,16-12-2022,5,400.0499878
152,154549000000,19-12-2022,2,1439.25
153,154716000000,21-12-2022,5,330.75
154,154801000000,22-12-2022,5,1180.000996
155,154814000000,23-12-2022,5,266.4750061
156,154898000000,24-12-2022,5,266.4750061
157,154977000000,24-12-2022,5,329.1749878
158,154983000000,25-12-2022,4,177.6499939
159,155065000000,25-12-2022,5,491.500498
160,155137000000,26-12-2022,5,273.0
161,155242000000,28-12-2022,5,507.250498
162,155243000000,28-12-2022,4,276.9249878
163,155245000000,28-12-2022,5,282.1499939
164,155310000000,28-12-2022,1,750.75
165,155327000000,28-12-2022,5,276.9250031
166,155329000000,29-12-2022,5,282.1499939
167,155338000000,29-12-2022,4,177.6499939
168,155404000000,29-12-2022,3,655.0004883
169,155486000000,30-12-2022,5,514.5000098
170,155500000000,30-12-2022,5,1040.25
171,155507000000,31-12-2022,5,177.6499939
172,155581000000,31-12-2022,1,848.5014941
173,155582000000,31-12-2022,5,329.1749878
174,155588000000,01-01-2023,5,444.25
175,155683000000,02-01-2023,4,177.6499939
176,155752000000,02-01-2023,5,177.6499939
177,155769000000,03-01-2023,5,276.9249878
178,156096000000,06-01-2023,5,320.25
179,156622000000,12-01-2023,5,278.25
180,156702000000,13-01-2023,5,225.75
181,156711000000,14-01-2023,5,814.5
182,156787000000,14-01-2023,5,236.25
183,156802000000,15-01-2023,5,220.5
184,156881000000,15-01-2023,1,257.25
185,156975000000,17-01-2023,5,341.25
186,157316000000,21-01-2023,3,667.5
187,157734000000,25-01-2023,5,406.25
188,157751000000,26-01-2023,5,136.5
189,158081000000,29-01-2023,4,199.5
190,158093000000,30-01-2023,5,509.25
191,158167000000,30-01-2023,1,283.5
192,158167000000,30-01-2023,5,1119.0
193,158257000000,31-01-2023,5,1071.75
194,158263000000,31-01-2023,2,367.5
195,158264000000,31-01-2023,5,273.0
196,158520000000,03-02-2023,5,273.0
197,158531000000,04-02-2023,5,136.5
198,158596000000,04-02-2023,5,246.75
199,158613000000,05-02-2023,1,909.0
200,158615000000,05-02-2023,5,325.5
201,158619000000,05-02-2023,5,1241.099976
202,158680000000,05-02-2023,5,220.5
203,158769000000,06-02-2023,5,246.75
204,158789000000,07-02-2023,5,273.0
205,158790000000,07-02-2023,5,667.5000195
206,158868000000,07-02-2023,5,477.75
207,158870000000,07-02-2023,2,756.75
208,158876000000,08-02-2023,5,393.75
209,158965000000,09-02-2023,4,178.5
210,159050000000,10-02-2023,5,273.0
211,159051000000,10-02-2023,1,283.5
212,159113000000,10-02-2023,3,678.0
213,159309000000,13-02-2023,1,672.749989
214,159560000000,15-02-2023,5,178.5
215,159565000000,16-02-2023,1,210.0
216,160070000000,21-02-2023,1,378.0
217,160070000000,21-02-2023,4,793.5
218,160071000000,21-02-2023,1,683.25
219,160075000000,21-02-2023,5,136.5
220,160170000000,23-02-2023,1,456.75
221,160587000000,27-02-2023,4,189.0
222,160590000000,27-02-2023,3,357.0
223,160680000000,28-02-2023,5,294.0
224,160768000000,01-03-2023,5,236.25
225,160777000000,02-03-2023,5,283.5
226,160924000000,03-03-2023,5,294.0
227,161120000000,06-03-2023,4,178.5
228,161121000000,06-03-2023,5,399.0
229,161208000000,07-03-2023,4,241.5
230,161375000000,08-03-2023,4,78.75
231,161447000000,09-03-2023,5,273.0
232,161451000000,09-03-2023,1,439.9500122
233,161458000000,09-03-2023,5,1001.700012
234,161549000000,11-03-2023,5,273.0
235,161640000000,12-03-2023,5,210.0
236,161645000000,12-03-2023,5,351.75
237,161711000000,12-03-2023,1,488.25
238,161718000000,12-03-2023,5,220.5
239,161890000000,14-03-2023,5,283.5
240,161895000000,15-03-2023,5,225.75
241,161900000000,15-03-2023,5,189.0
242,161970000000,15-03-2023,4,435.75
243,161987000000,16-03-2023,5,178.5
244,162067000000,17-03-2023,3,397.9499878
245,162072000000,17-03-2023,1,283.5
246,162141000000,17-03-2023,1,682.5
247,162162000000,18-03-2023,4,178.5
248,162243000000,19-03-2023,5,572.25
249,162246000000,19-03-2023,5,278.25
250,162251000000,19-03-2023,5,215.25
251,162486000000,21-03-2023,5,294.0
252,162579000000,22-03-2023,1,425.25
253,162670000000,23-03-2023,5,383.25
254,162675000000,24-03-2023,5,278.25
255,162755000000,24-03-2023,5,693.0
256,162917000000,26-03-2023,5,330.75
257,162918000000,26-03-2023,5,178.5
258,162919000000,26-03-2023,5,357.0
259,162930000000,26-03-2023,5,509.25
260,163027000000,28-03-2023,3,451.5
261,163104000000,29-03-2023,5,330.75
262,163365000000,01-04-2023,5,283.5
263,163441000000,01-04-2023,1,420.0
264,163454000000,02-04-2023,5,362.25
265,163463000000,02-04-2023,3,273.0
266,163545000000,03-04-2023,3,435.75
267,163894000000,07-04-2023,5,89.25
268,163971000000,08-04-2023,5,273.0
269,164039000000,08-04-2023,5,351.75
270,164052000000,08-04-2023,5,283.5
271,164053000000,08-04-2023,5,771.75
272,164056000000,09-04-2023,4,367.5000098
273,164063000000,09-04-2023,1,819.0
274,164134000000,09-04-2023,1,2135.699951
275,164231000000,11-04-2023,1,178.5
276,164294000000,11-04-2023,5,210.0
277,164383000000,12-04-2023,1,173.25
278,164564000000,14-04-2023,5,210.0
279,164651000000,15-04-2023,5,357.0
280,164658000000,15-04-2023,5,682.500018
281,164733000000,16-04-2023,5,152.25
282,164750000000,17-04-2023,5,325.5
283,164834000000,18-04-2023,5,178.5000027
284,164837000000,18-04-2023,5,273.0000027
285,165067000000,20-04-2023,3,556.500018
286,165078000000,20-04-2023,1,210.0
287,165082000000,20-04-2023,1,514.5
288,165084000000,20-04-2023,1,257.25
289,165096000000,21-04-2023,5,326.5499878
290,165335000000,23-04-2023,5,462.0
291,165421000000,24-04-2023,5,593.25
292,165428000000,24-04-2023,1,178.5
293,165428000000,24-04-2023,4,320.25
294,165432000000,24-04-2023,5,362.25
295,165436000000,24-04-2023,5,273.0
296,165451000000,25-04-2023,5,267.75
297,165526000000,26-04-2023,5,415.7999878
298,165677000000,27-04-2023,5,630.0
299,165784000000,29-04-2023,1,294.0
300,165790000000,29-04-2023,5,525.0
301,165868000000,29-04-2023,5,577.5
302,165941000000,30-04-2023,5,824.25
303,165943000000,30-04-2023,1,388.5
