MONTH,RESTAURANT_ID,IS_VEG,BRAND_NAME,CITY,AREA,ITEM_ID,ITEM_NAME,ITEM_CATEGORY,VARIANT_NAME,PRICE_PER_ITEM,ITEM_QUANTITY,ITEM_SUBTOTAL
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105267,Gobi Manchurian Dry,"Starters""""",,255,2,510
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105326,Ker Sangri,"Flavours of Rajasthan""""",,230,9,2070
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105340,Palak Paneer,"Main Course""""",,246.7241379,29,7155
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105390,B.Tandoori Naan,"Indian Breads""""",,70,351,24570
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,99153278,Dal Fry Combo,"Swiggy Exclusive Combos""""",,205,8,1640
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,106110108,Aloo Paratha,"Indian Breads""""",,110,16,1760
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105368,Kashmiri Pulao,"Rice & Biryani""""",,180,8,1440
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,106110178,Paneer Kulcha,"Indian Breads""""",,115,8,920
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105195,Garlic Naan,"Indian Breads""""",,100,38,3800
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105255,Tomato Soup,"Soups""""",,120,9,1080
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105372,Dal Khichdi,"Rice & Biryani""""",,176.9377163,289,51135
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105264,Green Salad,"Accompaniments""""",,55,14,770
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105252,Manchow Soup,"Soups""""",,160,9,1440
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105288,Papad Churi J,"Starters""""",,130,55,7150
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105304,Veg Kofta,"Main Course""""",,230,8,1840
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105373,Rajasthani Khichdi,"Rice & Biryani""""",,185.8333333,6,1115
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105357,Panch Mel Dal,"Flavours of Rajasthan""""",,215,8,1720
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,59614569,Jodhpuri Gatte Combo,"Swiggy Exclusive Combos""""",,256.6216216,37,9495
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105258,Roasted Khichiya,"Accompaniments""""",,43,55,2365
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,61156506,Roasted Papad,"Accompaniments""""",,35,91,3185
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105377,Plain Tandoori Roti,"Indian Breads""""",,35,223,7805
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105320,Sarson Ka Saag,"Main Course""""",,230,31,7130
